from,to,relation
mg,md,1
mg,iq,1
mg,of,1
mg,ks,1
mg,sl,1
mg,ms,1
mg,jg,1
mg,rar,3
mg,bmg,3
mg,tvk,3
mg,ms,3
mg,mj,3
mg,mm,3
mg,tms,3
mg,le,3
mg,ed,3
mg,mh,3
mg,rr,3
mg,mgr,3
mg,mr,3
mg,to,3
mg,ls,3
mg,dj,3
mg,cp,3
mg,js,3
mg,jk,3
mg,sg,3
mg,hf,3
mg,ks,3
mg,al,3
mg,tr,3
mg,btg,3
mg,ma,3
mg,qua,3
ms,md,1
ms,iq,1
ms,of,1
ms,ks,1
ms,sl,1
ms,jg,1
ms,esc,3
ms,rg,3
ms,tvg,3
ms,bb,3
ms,wm,3
ms,vur,3
ms,po,3
ms,ynu,3
ms,hab,3
ms,ga,3
ms,mo,3
ms,njm,3
ms,ls,3
ms,mr,3
ms,ac,3
ms,np,3
ms,nr,3
ms,npo,3
ms,pps,3
ms,ah,3
ms,rm,3
ms,df,3
ms,az,3
ms,xp,3
ms,tb,3
ms,gs,3
ms,lm,3
ms,sg,3
ms,tr,3
ms,mge,3