id,name,type,sex ,staffel,team,showkategorie,charts
mg,Max Giesinger,1,2,1,4,NA,4
md,Mic Donet,1,2,1,4,NA,2
iq,Ivy Quainoo,1,1,1,1,NA,3
of,Ole Feddersen,1,2,1,1,NA,1
ks,Kim Sanders,1,1,1,2,NA,4
sl,Sharron Levy,1,1,1,2,NA,1
ms,Michael Schulte,1,2,1,3,NA,4
jg,Jasmin Graf,1,1,1,3,NA,1
mm,Motor Music ,2,NA,NA,NA,NA,NA
rar,Rent a Record Company,2,NA,NA,NA,NA,NA
vur,Very Us Records ,2,NA,NA,NA,NA,NA
po,Polydor ,2,NA,NA,NA,NA,NA
wm,Weinstein Media,2,NA,NA,NA,NA,NA
bmg,BMG,2,NA,NA,NA,NA,NA
tvk,The Voice Kids,3,NA,NA,NA,1,NA
tvg,The Voice of Germany,3,NA,NA,NA,1,NA
ga,Giraffenaffen ,3,NA,NA,NA,1,NA
esc,Eurovision Song Contest,3,NA,NA,NA,1,NA
tms,The Masked Singer,3,NA,NA,NA,1,NA
mj ,Madeline Juno ,1,1,NA,NA,NA ,NA
ed,Elif Demirezer ,1,1,NA,NA,NA,NA
le,Lotte,1,1,NA,NA,NA ,NA
rr,Ruben Rodriguez,1,2,NA,NA,NA,NA
mr,Mathias Ramson,1,2,NA,NA,NA,NA
to,Tino Oac,1,2,NA,NA,NA,NA
ls,Lillo Scrimali,1,2,NA,NA,NA,NA
rg,Rea Garvey ,1,2,NA,NA,NA,NA
dj,David JÃ¼rgens,1,2,NA,NA,NA,NA
js,Jens Schneider,1,2,NA,NA,NA,NA
bb,Boygroup Blue,1,2,NA,NA,NA,NA
jk,Jules Kalmbacher,1,1,NA,NA,NA,NA
sg,Steffen Graef,1,2,NA,NA,NA,NA
ynu,YouNotUS,1,2,NA,NA,NA,NA
hab,R3hab,1,2,NA,NA,NA,NA
mo,Montez,1,2,NA,NA,NA,NA
njm,Norma Jean Martine,1,1,NA,NA,NA,NA
mh,Micheal Herberger,1,2,NA,NA,NA,NA
mgr,Mathias Grosch,1,2,NA,NA,NA,NA
cp,Christoph Papendieck,1,2,NA,NA,NA,NA
hf,Helene Fischer ,1,1,NA,NA,NA,NA
khs,Klaus Sahm ,1,2,NA,NA,NA,NA
al,Alex Lys ,1,2,NA,NA,NA,NA
tr,Truva,1,2,NA,NA,NA,NA
btg,Beatgees,1,2,NA,NA,NA,NA
ma,Mia Aergerter,1,1,NA,NA,NA,NA
qua,Quarterhead,1,2,NA,NA,NA,NA
ac,Andy Chatterley,1,2,NA,NA,NA,NA
np,Nerina Pallot ,1,1,NA,NA,NA,NA
nr,Nicolas Rebscher ,1,2,NA,NA,NA,NA
npo,Nicolai Potthoff,1,2,NA,NA,NA,NA
pps,Patrick Pyke Salmy,1,2,NA,NA,NA,NA
ah,Andreas Herbig,1,2,NA,NA,NA,NA
rm,Ricardo Munoz ,1,2,NA,NA,NA,NA
df,Daniel Flamm ,1,2,NA,NA,NA,NA
az,Abaz,1,2,NA,NA,NA,NA
xp,X-Plosive ,1,2,NA,NA,NA,NA
tb,Tobias Bodgon ,1,2,NA,NA,NA,NA
gs,Gregor Sahm,1,2,NA,NA,NA,NA
lm,Leon Milla,1,2,NA,NA,NA,NA
mge,Micheal Geldreich,1,2,NA,NA,NA,NA